,alias,name,url,categories,latitude,longitude,address,zip_code,price,rating,review_count
1319,hôtel-du-nord-paris-5,Hôtel du Nord,https://www.yelp.com/biz/h%C3%B4tel-du-nord-paris-5,french,48.873494,2.364109,102 quai de Jemmapes,75010,3,3.5,77.0
1322,le-plomb-du-cantal-paris-7,Le Plomb du Cantal,https://www.yelp.com/biz/le-plomb-du-cantal-paris-7,french,48.869331,2.355263,4 bd St Denis,75010,2,4.0,75.0
1323,indiana-café-paris-20,Indiana Café,https://www.yelp.com/biz/indiana-caf%C3%A9-paris-20,"burgers, tradamerican, breakfast_brunch",48.86645,2.36462,1 place de la République,75003,2,2.5,74.0
1324,les-parigots-paris,Les Parigots,https://www.yelp.com/biz/les-parigots-paris,"bars, brasseries",48.86926,2.36183,5 rue Château d'eau,75010,2,4.0,74.0
1325,la-perle-paris-3,La Perle,https://www.yelp.com/biz/la-perle-paris-3,"coffee, bars, cafes",48.859866319536,2.3606946283884,78 Rue Vieille Du Temple,75003,2,3.0,74.0
1326,grizzli-café-paris-4,Grizzli Café,https://www.yelp.com/biz/grizzli-caf%C3%A9-paris-4,"french, basque",48.858656,2.3497275,7 rue Saint-Martin,75004,2,4.0,74.0
1328,saam-paris-2,SAaM,https://www.yelp.com/biz/saam-paris-2,korean,48.87207,2.3626,59 bis rue de Lancry,75010,2,4.0,72.0
1330,les-fabricants-paris-2,Les Fabricants,https://www.yelp.com/biz/les-fabricants-paris-2,"basque, sud_ouest",48.867163,2.374997,61 rue Jean-Pierre Timbaud,75011,2,4.0,71.0
1331,l-aller-retour-paris,L'Aller Retour,https://www.yelp.com/biz/l-aller-retour-paris,"wine_bars, steak",48.865353,2.363151,5 rue Charles François Dupuis,75003,3,4.5,71.0
1332,amici-miei-paris,Amici Miei,https://www.yelp.com/biz/amici-miei-paris,"italian, pizza",48.85824673963,2.3693781726625,44 rue St Sabin,75011,3,4.0,70.0
1334,east-side-burgers-paris,East Side Burgers,https://www.yelp.com/biz/east-side-burgers-paris,"burgers, vegetarian",48.8618141,2.3730746,60 bd Voltaire,75011,2,4.0,70.0
1335,auberge-pyrénées-cévennes-paris-2,Auberge Pyrénées Cévennes,https://www.yelp.com/biz/auberge-pyr%C3%A9n%C3%A9es-c%C3%A9vennes-paris-2,"french, lyonnais",48.86786,2.36878,106 rue de la Folie Méricourt,75011,3,4.5,69.0
1338,lavomatic-paris,Lavomatic,https://www.yelp.com/biz/lavomatic-paris,"cocktailbars, tapasmallplates, wine_bars",48.8684719636216,2.36200138194357,30 rue René Boulanger,75010,2,4.0,69.0
1339,chez-jeanette-paris-2,Chez Jeanette,https://www.yelp.com/biz/chez-jeanette-paris-2,"bars, french, bistros",48.8716,2.35367,47 rue du faubourg Saint-Denis,75010,2,3.5,69.0
